label,name,c1,c2,c3,id,val_fs,cortical,alpha
,R_31pd_ROI,78,27,60,360,3939150,1,255
,R_31a_ROI,141,107,134,361,8809357,1,255
,R_VVC_ROI,53,80,135,362,8867893,1,255
,R_25_ROI,26,19,12,363,791322,1,255
,R_s32_ROI,27,19,9,364,594715,1,255
,R_pOFC_ROI,77,53,61,365,4011341,1,255
,R_PoI1_ROI,166,107,103,366,6777766,1,255
,R_Ig_ROI,108,130,41,367,2720364,1,255
,R_FOP5_ROI,184,106,119,368,7826104,1,255
,R_p10p_ROI,92,70,83,369,5457500,1,255
,R_p47r_ROI,149,122,122,370,8026773,1,255
,R_TGv_ROI,56,65,54,371,3555640,1,255
,R_MBelt_ROI,188,17,26,372,1708476,1,255
,R_LBelt_ROI,216,24,28,373,1841368,1,255
,R_A4_ROI,150,40,8,374,534678,1,255
,R_STSva_ROI,49,40,35,375,2304049,1,255
,R_TE1m_ROI,82,54,59,376,3880530,1,255
,R_PI_ROI,129,59,62,377,4078465,1,255
,R_a32pr_ROI,152,81,109,378,7164312,1,255
,R_p24_ROI,122,44,81,379,5319802,1,255
